Sysdig Container CPU Quota Used Percent,Sysdig Container File In IOPS,Sysdig Container Net HTTP Request Count,JMX JVM Heap Used,Sysdig Container Syscall Error Count,Sysdig Program Net Error Count,Sysdig Container Net HTTP Error Count,Sysdig Container Memory Limit Used Percent,Timestamp
1.419,5.6,1,45213390.857143,0,0,0,27.366407,1699055530
1.506,4.6,1,46062872,0,0,0,27.366407,1699055540
1.630001,5.4,1,46981809.6,0,0,0,27.366407,1699055550
1.613,5.2,1,47998436.8,0,0,0,27.366407,1699055560
1.623,4.6,1,48929048,0,0,0,27.366407,1699055570
1.563001,5.4,1,49728587.2,0,0,0,27.366407,1699055580
1.581,5.2,1,50666161.6,0,0,0,27.366407,1699055590
1.492,4.2,1,51509528,0,0,0,27.366407,1699055600
1.555001,5.4,1,52471268.8,0,0,0,27.366407,1699055610
1.47,5.2,1,53360920,0,0,0,27.366407,1699055620
1.548,3.2,1,54362801.6,0,0,0,27.366407,1699055630
1.686,4.6,0,55240984,0,0,0,27.366407,1699055640
1.297001,5.4,1,51342774.4,0,0,0,27.382032,1699057360
1.298,5.4,1,52250155.428572,0,0,0,27.382032,1699057370
1.390001,4.8,1,53065142.4,0,0,0,27.382032,1699057380
1.486,5,1,53952745.6,0,0,0,27.382032,1699057390
1.404,4.2,1,54935785.6,0,0,0,27.38086,1699057400
1.354,5.2,1,55842230.4,0,0,0,27.374844,1699057410
1.349,5.4,1,56681910.4,0,0,0,27.34961,1699057420
1.791,5.8,1,57587945.6,0,0,0,27.350625,1699057430
1.766,6.8,1,58569347.2,0,0,0,27.35086,1699057440
1.719,5,1,59413719.2,0,0,0,27.351563,1699057450
1.934,4.6,1,60265680,0,0,0,27.424766,1699057460
1.683,5.2,1,61228240,0,0,0,27.442969,1699057470
1.691,4.2,1,62198992,0,0,0,27.441797,1699057480
1.794,5.6,1,39112547.2,0,0,0,27.46125,1699057490
1.682,5.6,1,34016776,0,0,0,27.464844,1699057500
1.557,5,1,34976776,0,0,0,27.490235,1699057510
1.878001,6.2,1,35844820.8,0,0,0,27.51836,1699057520
1.627,6,1,36711944,0,0,0,27.522344,1699057530
1.899,5,1,37605457.142858,0,0,0,27.732579,1699057540
1.994001,3.6,0,38485102.4,0,0,0,27.836641,1699057550
